Artist,Category,Streams,Revenue (USD),Country,Year,Most Popular Song,Subscription Type,Age Group,Danceability,Energy,Tempo,Valence
The Weeknd,Pop,321147,13035.11,Spain,2021,Wake Me Up (feat. Justice),Free,45+,,,,
The Weeknd,Pop,190560,12818.14,France,2023,Cry For Me,Free,18-24,,,,
The Weeknd,Pop,295077,16020.41,Mexico,2019,I Can't Fucking Sing,Premium,45+,,,,
The Weeknd,Pop,557311,16907.12,Germany,2021,São Paulo (feat. Anitta),Free,25-34,,,,
The Weeknd,Pop,471741,21707.92,Italy,2023,Until We're Skin & Bones,Premium,45+,,,,
The Weeknd,Pop,778646,41505.45,India,2023,Baptized In Fear,Free,18-24,,,,
The Weeknd,Pop,735963,34838.44,Canada,2022,Open Hearts,Premium,18-24,,,,
The Weeknd,Pop,204501,9860.18,Australia,2021,Opening Night,Premium,35-44,,,,
The Weeknd,Pop,261801,8061.71,India,2024,"Reflections Laughing (feat. Travis Scott, Florence + The Machine)",Premium,25-34,,,,
The Weeknd,Pop,610209,23859.35,Mexico,2024,Enjoy The Show (feat. Future),Free,18-24,,,,
The Weeknd,Pop,350607,18893.19,Australia,2024,Given Up On Me,Free,13-17,,,,
The Weeknd,Pop,773947,31353.84,Mexico,2020,I Can't Wait To Get There,Free,13-17,,,,
The Weeknd,Pop,587477,19379.56,Japan,2023,Timeless (feat Playboi Carti),Free,13-17,,,,
The Weeknd,Pop,944986,28496.58,Brazil,2019,Niagara Falls,Premium,13-17,,,,
The Weeknd,Pop,544818,26513.94,Mexico,2021,Take Me Back To LA,Premium,25-34,,,,
The Weeknd,Pop,562225,37815.31,UK,2020,Big Sleep (feat. Giorgio Moroder),Free,35-44,,,,
The Weeknd,Pop,772517,39967.3,UK,2022,Give Me Mercy,Free,25-34,,,,
The Weeknd,Pop,327228,13670.53,Spain,2021,Drive,Premium,25-34,,,,
The Weeknd,Pop,989541,56476.93,Netherlands,2020,The Abyss (feat. Lana Del Rey),Premium,35-44,,,,
The Weeknd,Pop,660092,34584.05,South Africa,2019,Red Terror,Premium,35-44,,,,
The Weeknd,Pop,646744,36071.62,Mexico,2019,Starboy (feat. Daft Punk),Premium,25-34,,,,
The Weeknd,Pop,688366,33886.64,USA,2023,Party Monster,Free,25-34,,,,
The Weeknd,Pop,539904,27256.76,Australia,2020,False Alarm,Premium,25-34,,,,
The Weeknd,Pop,719590,49306.61,UK,2019,Reminder,Premium,25-34,,,,
The Weeknd,Pop,593425,30672.64,Germany,2022,Rockin’,Premium,18-24,,,,
The Weeknd,Pop,96405,5052.39,India,2024,Secrets,Free,13-17,,,,
The Weeknd,Pop,199314,9643.63,Japan,2019,True Colors,Free,18-24,,,,
The Weeknd,Pop,163992,8682.43,Netherlands,2019,Stargirl Interlude (feat. Lana Del Rey),Free,25-34,,,,
The Weeknd,Pop,297335,18875.4,Mexico,2020,Sidewalks (feat. Kendrick Lamar),Free,45+,,,,
The Weeknd,Pop,70083,2825.03,Italy,2024,Six Feet Under,Free,45+,,,,
The Weeknd,Pop,712569,42651.44,Italy,2024,Love To Lay,Premium,13-17,,,,
The Weeknd,Pop,989276,68709.84,South Korea,2024,A Lonely Night,Free,13-17,,,,
The Weeknd,Pop,359049,20577.65,Australia,2023,Attention,Free,13-17,,,,
The Weeknd,Pop,575286,23073.31,France,2020,Ordinary Life,Premium,18-24,,,,
The Weeknd,Pop,542455,18532.32,Germany,2020,Nothing Without You,Premium,25-34,,,,
The Weeknd,Pop,408349,13931.81,South Korea,2020,All I Know (feat. Future),Premium,13-17,,,,
The Weeknd,Pop,213139,7513.46,Spain,2021,Die For You,Free,45+,,,,
The Weeknd,Pop,549717,30460.74,Mexico,2021,I Feel It Coming (feat. Daft Punk),Premium,45+,,,,
The Weeknd,Pop,948569,59892.21,Australia,2024,Die For You (with Ariana Grande) - Remix,Premium,13-17,,,,
The Weeknd,Pop,392746,12178.65,India,2022,Starboy (feat. Daft Punk) - Kygo Remix,Free,13-17,,,,
